NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.425992489,4.418804646,4.398139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.411616802,4.405776501,4.397689819,4.389603615,4.392748356,4.401732922,4.413862705,4.424644947,4.42913723,4.428238869,4.424644947,4.417905807,4.415659904,4.421949387,4.433180332,4.443063736,4.444411755,4.435875893,4.418804646,4.393646717,4.36714077,4.338838577,4.31457901,4.297956944,4.286725521,4.28088522,4.276842117,4.271450996,4.268306255,4.266060352,4.264263153,4.264263153,4.278189659,4.300202847,4.325809956,4.350967884,4.368488789,4.37208271,4.377923012,4.390501976,4.412515163,4.456092358,4.504161835,4.549535751,4.579185963,4.587272644,4.582779884,4.573795319,4.573795319,4.594460487,4.629951,4.671730995,4.706323147,4.697338581,4.678020477,4.652413368,4.625009537,4.617372036,4.620067596,4.627705097,4.635342121,4.639834404
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.415210724,4.40308094,4.386458874,4.355909824,4.335693836,4.332099438,4.336143017,4.346924782,4.357257366,4.36938715,4.381966114,4.396342278,NaN,4.401732922,4.404877663,4.408472061,4.410268784,4.409819603,4.408472061,4.411616802,4.416558266,4.422847748,4.430035591,4.429586411,4.423746109,4.417007446,4.410717964,4.407124043,4.409819603,4.417456627,4.42689085,4.43407917,4.43407917,4.42689085,4.412065983,4.388255596,4.359503746,4.332998276,4.310985088,4.289870262,4.277291298,4.271450996,4.270552635,4.270103455,4.270552635,4.267407894,4.263364792,4.267407894,4.28088522,4.298406124,4.316375732,4.328056335,4.330751896,4.334345818,4.344678402,4.365793228,4.421949387,4.489336491,4.556723595,4.616473675,4.638037682,4.635342121,4.620965958,4.610184193,4.620965958,4.645225525,4.677122116,4.707671165,4.698686123,4.677571297,4.650167465,4.621415615,4.610633373,4.613778114,4.622763157,4.630849838,4.636240482
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.416558266,4.416558266,4.415659904,4.417007446,4.421949387,4.424644947,4.410717964,4.383763313,4.350967884,4.31457901,4.2813344,4.291667461,4.310985088,4.330751896,4.34557724,4.358605385,4.37163353,4.382864475,4.381966114,4.384661674,4.390951157,4.399487019,4.408472061,4.417007446,4.423296928,4.428688049,4.429586411,4.427340031,4.424644947,4.420152187,4.414761543,4.408921242,4.403530121,4.399936199,4.399037838,4.403979301,4.413862705,4.428688049,4.438122272,4.439469814,4.43138361,4.410717964,4.385110855,4.355909824,4.326708794,4.297507763,4.2813344,4.276392937,4.276392937,4.276842117,4.276392937,4.273248196,4.267857075,4.263813972,4.268306255,4.277291298,4.289421082,4.299304485,4.302898407,4.305144787,4.31233263,4.333447456,4.40263176,4.49158287,4.582330704,4.656456947,4.692396641,4.684759617,4.66050005,4.643877983,4.646573544,4.660050869,4.679368496,4.697787762,4.69419384,4.675774574,4.648819447,4.620067596,4.608836651,4.613778114,4.621864796,4.626806259,4.630400181
NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.392748356,4.395893097,4.40038538,4.404877663,4.408921242,4.412515163,4.411167145,4.395893097,4.359503746,4.315477371,4.272799015,4.240902424,4.266509533,4.301101685,4.331201077,4.351866722,4.365793228,4.376125813,4.381966114,4.380618572,4.382415295,4.386908054,4.394545078,4.405776501,4.416558266,4.425543308,4.430934429,4.428688049,4.420152187,4.410717964,4.40263176,4.398588181,4.396791458,4.394994259,4.393646717,4.392748356,4.399037838,4.410268784,4.425992489,4.443063736,4.451150417,4.446658134,4.428688049,4.40308094,4.37208271,4.338838577,4.305593967,4.28627634,4.28582716,4.289421082,4.289870262,4.28627634,4.278639317,4.269654274,4.261118412,4.25977087,4.264263153,4.274595737,4.287623882,4.288971901,4.290768623,4.301101685,4.326259613,4.406674862,4.506407738,4.60838747,4.702729225,4.730133533,4.713960648,4.684309959,4.65825367,4.66050005,4.668137074,4.678020477,4.687904358,4.686556339,4.671730995,4.647921085,4.620965958,4.613328934,4.620067596,4.626806259,4.628603458,4.629951
4.380169392,4.381067753,4.376125813,4.368039608,4.363546848,4.366242409,4.371184349,4.376125813,4.380169392,4.386908054,4.392748356,4.394545078,4.384212494,4.370285511,4.350518703,4.31233263,4.275044918,4.244047165,4.231468201,4.269205093,4.30963707,4.346026421,4.371184349,4.387357235,4.394994259,4.398139,4.397240639,4.397240639,4.398139,4.401732922,4.409370422,4.419253826,4.425992489,4.427789688,4.421949387,4.408921242,4.396342278,4.385560036,4.381067753,4.383314133,4.386458874,4.389153957,4.389603615,4.394994259,4.40532732,4.421050549,4.443063736,4.4556427,4.452947617,4.436774254,4.408472061,4.375676632,4.344229221,4.31727457,4.298406124,4.299304485,4.302000046,4.301101685,4.294363022,4.282682419,4.270552635,4.260669231,4.257973671,4.262915611,4.273697376,4.28807354,4.288971901,4.292565823,4.308738708,4.34288168,4.396791458,4.48619175,4.573795319,4.645674706,4.6874547,4.6874547,4.675774574,4.664543152,4.666789532,4.671281815,4.676672935,4.681165218,4.680266857,4.668137074,4.645674706,4.617821693,4.615575314,4.626806259,4.63444376,4.634892941,4.63444376
4.376574993,4.383763313,4.376574993,4.365793228,4.356808186,4.353663445,4.358605385,4.366242409,4.37208271,4.373430252,4.371184349,4.363546848,4.339736938,4.312781811,4.284928799,4.255727291,4.235062122,4.227424622,4.243148327,4.291218281,4.333896637,4.36714077,4.392298698,4.404877663,4.409370422,4.413862705,4.417007446,4.418804646,4.419703007,4.418804646,4.418804646,4.423296928,4.424644947,4.422398567,4.414761543,4.401732922,4.386908054,4.376125813,4.371184349,4.377473831,4.382415295,4.382864475,4.379719734,4.382864475,4.390501976,4.406674862,4.432281971,4.446658134,4.445759296,4.43138361,4.407573223,4.377923012,4.347823143,4.322216034,4.304695606,4.308738708,4.310086727,4.307840347,4.300202847,4.28807354,4.275943756,4.266958714,4.266060352,4.272349834,4.282233238,4.291667461,4.294363022,4.300202847,4.315028191,4.34288168,4.388704777,4.442165375,4.496075153,4.547738552,4.603894711,4.629052639,4.647022724,4.66094923,4.669485092,4.673528194,4.676672935,4.678470135,4.674875736,4.662297249,4.638936043,4.612430573,4.613778114,4.629951,4.640733242,4.641631603,4.640733242
4.387806416,4.396342278,4.387806416,4.370285511,4.352765083,4.338838577,4.339736938,4.348721981,4.357707024,4.359054565,4.347823143,4.328505516,4.296608925,4.265161514,4.242249966,4.22652626,4.222033978,4.235511303,4.272349834,4.322216034,4.366691589,4.390501976,4.406225681,4.414761543,4.416558266,4.422398567,4.430484772,4.437673092,4.443063736,4.439918995,4.434528351,4.430035591,4.426441669,4.421949387,4.414311886,4.40308094,4.390052795,4.380618572,4.376125813,4.380618572,4.381966114,4.375676632,4.365793228,4.360402107,4.364894867,4.381966114,4.408022404,4.424644947,4.425992489,4.415659904,4.395443439,4.371184349,4.346026421,4.325360775,4.312781811,4.31457901,4.313231468,4.307391167,4.297507763,4.288971901,4.28088522,4.276392937,4.278639317,4.283131599,4.290319443,4.296608925,4.300202847,4.298855305,4.302000046,4.310535908,4.327157974,4.358156204,4.398588181,4.450252056,4.521682262,4.569302559,4.612430573,4.647471905,4.66544199,4.674875736,4.678470135,4.676672935,4.667238712,4.650616646,4.628603458,4.609285831,4.611532211,4.629052639,4.640733242,4.643877983,4.645225525
4.40038538,4.401283741,4.395443439,4.377024651,4.352315903,4.328505516,4.320419312,4.331201077,4.34108448,4.34333086,4.333896637,4.311434269,4.282233238,4.248090267,4.235062122,4.229671001,4.236409664,4.263364792,4.311434269,4.359503746,4.397689819,4.412515163,4.415210724,4.414311886,4.412065983,4.420601368,4.433629513,4.447556496,4.461033821,4.4556427,4.445759296,4.435426712,4.42913723,4.424644947,4.419703007,4.412964344,4.407573223,4.404428482,4.401732922,4.40038538,4.394095898,4.37387991,4.354562283,4.34333086,4.34288168,4.357707024,4.379270554,4.397240639,4.399487019,4.393197536,4.379270554,4.358156204,4.3406353,4.324462414,4.314129829,4.315926552,4.309187889,4.297956944,4.284479141,4.278189659,4.275943756,4.278639317,4.287174702,4.297058105,4.306941986,4.310535908,4.306492329,4.296159744,4.289421082,4.28627634,4.287174702,4.304246426,4.33838892,4.389153957,4.458338261,4.518986702,4.57694006,4.624560356,4.653761387,4.673977375,4.680266857,4.674426556,4.656906128,4.63713932,4.619169235,4.605242729,4.604793072,4.617372036,4.62725544,4.63444376,4.642080784
4.413413525,4.409819603,4.404428482,4.390501976,4.367590427,4.344678402,4.332998276,4.341983318,4.347823143,4.349171162,4.346475601,4.325809956,4.302449226,4.278639317,4.264712334,4.261118412,4.271900177,4.301101685,4.346475601,4.388255596,4.418355465,4.425094128,4.417905807,4.408472061,4.402182579,4.411616802,4.427340031,4.443513393,4.45788908,4.456541538,4.446208477,4.434977531,4.42689085,4.422847748,4.421500206,4.421949387,4.425992489,4.42913723,4.427789688,4.421500206,4.406225681,4.378372192,4.354112625,4.33838892,4.332549095,4.34333086,4.358605385,4.371184349,4.36983633,4.363996506,4.353663445,4.337041378,4.320868492,4.306941986,4.299753666,4.303797245,4.296159744,4.281784058,4.266958714,4.258872032,4.262915611,4.273248196,4.289421082,4.311434269,4.325360775,4.325809956,4.314129829,4.297956944,4.290768623,4.291218281,4.297058105,4.310535908,4.336143017,4.37432909,4.425992489,4.48439455,4.545043468,4.597605228,4.636240482,4.666340351,4.678919315,4.674426556,4.651065826,4.628603458,4.613328934,4.603894711,4.600300789,4.603894711,4.611532211,4.621415615,4.631299019
4.451599598,4.448005676,4.439918995,4.426441669,4.414311886,4.399487019,4.387357235,4.386009216,4.393197536,4.396791458,4.398139,4.383763313,4.36714077,4.346026421,4.324911594,4.315477371,4.323564053,4.343780041,4.377024651,4.406674862,4.42419529,4.426441669,4.416109085,4.401283741,4.394545078,4.40263176,4.418355465,4.433629513,4.445310116,4.449802876,4.443063736,4.43183279,4.421050549,4.413862705,4.412964344,4.416558266,4.42419529,4.433180332,4.435426712,4.430035591,4.415210724,4.387806416,4.363097668,4.34333086,4.331201077,4.331201077,4.336143017,4.341533661,4.338838577,4.329853535,4.319520473,4.306043148,4.286725521,4.274595737,4.271001816,4.275943756,4.272799015,4.262016773,4.252133369,4.248988628,4.25707531,4.274146557,4.295261383,4.31727457,4.340186119,4.340186119,4.324013233,4.304695606,4.308289528,4.318622112,4.335244179,4.356808186,4.37387991,4.397689819,4.430484772,4.473612785,4.525725365,4.574244499,4.614227295,4.651964188,4.672180653,4.673079014,4.653761387,4.630400181,4.613328934,4.601648331,4.594460487,4.594011307,4.598054409,4.606590271,4.620067596
