lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
43.25,-118.75,9.80346,0.30953,0.174465,0.0871451,Ps,9.52102,0.12715,0.047704,0.00151214,Sp
43.5,-118.75,9.91731,0.444339,0.169439,0.0837871,Ps,9.49448,0.0950775,0.0462222,0.00276797,Sp
43.75,-118.75,9.918,0.495181,0.125004,0.0720522,Ps,9.62774,0.125812,0.0399521,0.00376579,Sp
44,-118.75,9.87126,0.493677,0.107193,0.0629959,Ps,9.97455,0.690149,0.0322605,0.00540279,Sp
44.25,-118.75,9.84858,0.624449,0.115973,0.0594246,Ps,11.3913,0.719821,0.0236965,0.003335,Sp
44.5,-118.75,9.67819,0.563702,0.133322,0.0441617,Ps,10.9923,0.563689,0.0226822,0.00381028,Sp
44.75,-118.75,9.8732,0.620321,0.105625,0.0454514,Ps,10.8131,0.124888,0.0332537,0.0047013,Sp
45,-118.75,10.2968,0.608965,0.0746395,0.0461544,Ps,10.8555,0.12429,0.0361308,0.00297965,Sp
33,-118.5,6.63526,0.28073,0.103042,0.0613814,Ps,13.0928,0.158281,0.0281429,0.0027201,Sp
33.25,-118.5,6.69219,0.298107,0.0901093,0.0524625,Ps,13.0376,0.190545,0.0240571,0.00160061,Sp
33.5,-118.5,7.00482,0.372054,0.0901222,0.0536182,Ps,13.0088,0.223101,0.0231322,0.00170859,Sp
33.75,-118.5,7.64575,0.305074,0.170053,0.0713865,Ps,12.519,0.127553,0.037075,0.00262504,Sp
34,-118.5,7.99285,0.377294,0.115544,0.0594303,Ps,12.3395,0.0946975,0.0403162,0.00250049,Sp
34.25,-118.5,8.11883,0.444251,0.098442,0.0588313,Ps,12.1853,0.125455,0.0380757,0.00341859,Sp
34.5,-118.5,8.37849,0.511028,0.0864505,0.047176,Ps,12.0298,0.188371,0.0333929,0.00146793,Sp
34.75,-118.5,8.49892,0.511336,0.081715,0.0443129,Ps,11.9114,0.128884,0.0331379,0.000880794,Sp
35,-118.5,8.81808,0.51068,0.0702289,0.0410733,Ps,11.7509,0.0971131,0.0317326,0.00173605,Sp
35.25,-118.5,9.10266,0.637619,0.0766371,0.0405326,Ps,11.6301,0.0644288,0.030948,0.00209238,Sp
35.5,-118.5,9.68751,0.573832,0.117327,0.0404327,Ps,11.4872,0.127748,0.0295891,0.00284181,Sp
35.75,-118.5,9.95695,0.505947,0.110809,0.0363558,Ps,11.6774,0.344068,0.0279797,0.00257101,Sp
36,-118.5,9.90392,0.568153,0.102615,0.0408344,Ps,11.9502,0.154871,0.0298662,0.00271147,Sp
36.25,-118.5,10.058,0.707789,0.10494,0.0426662,Ps,11.6458,0.123928,0.0334241,0.00110885,Sp
36.5,-118.5,9.7852,0.645126,0.0872344,0.0381077,Ps,11.5843,0.217472,0.033743,0.00189297,Sp
36.75,-118.5,10.0265,0.700337,0.0844518,0.0357498,Ps,11.5521,0.312598,0.0383583,0.002097,Sp
37,-118.5,10.4677,0.574875,0.148638,0.044135,Ps,11.2746,0.313283,0.0396403,0.0039661,Sp
37.25,-118.5,10.6225,0.638939,0.127026,0.0441181,Ps,11.1961,0.219906,0.0339386,0.00685905,Sp
37.5,-118.5,10.9725,0.513875,0.116155,0.0430408,Ps,11.1561,0.505064,0.0274154,0.00544048,Sp
37.75,-118.5,10.933,0.51578,0.131269,0.0551351,Ps,10.9833,0.540207,0.0242382,0.00370756,Sp
38,-118.5,10.8483,0.515759,0.154007,0.0622542,Ps,11.7043,0.413152,0.0236422,0.00139569,Sp
38.25,-118.5,10.8481,0.384136,0.151949,0.0612813,Ps,11.559,0.951467,0.0241178,0.00197975,Sp
38.5,-118.5,10.6794,0.510498,0.136655,0.0558856,Ps,9.94379,0,0.0214482,0,Sp
38.75,-118.5,10.3674,0.570219,0.113256,0.0523438,Ps,11.7841,0.380361,0.0250413,0.00311395,Sp
39,-118.5,10.4481,0.567564,0.100465,0.0501452,Ps,12.3574,0.855659,0.0264553,0.00343824,Sp
39.25,-118.5,10.436,0.567271,0.0894892,0.0498,Ps,11.2677,1.14416,0.0284725,0.00899216,Sp
39.5,-118.5,10.5348,0.565388,0.0765683,0.0485403,Ps,11.2958,0.605498,0.0435287,0.00978329,Sp
39.75,-118.5,10.1252,0.569205,0.0829914,0.0512885,Ps,11.7336,0.288264,0.0402162,0.00614586,Sp
40,-118.5,9.47332,0.496858,0.099507,0.0651533,Ps,11.8612,0.384833,0.0284287,0.00645094,Sp
40.25,-118.5,9.49343,0.366266,0.0886573,0.0582457,Ps,10.5569,0.512768,0.0375889,0.0101447,Sp
40.5,-118.5,9.48562,0.368141,0.109556,0.0693836,Ps,10.1226,0.1279,0.045176,0.00383784,Sp
40.75,-118.5,9.41424,0.436474,0.130562,0.072704,Ps,10.0159,0.254761,0.0411635,0.00366111,Sp
41,-118.5,9.40112,0.494656,0.12806,0.0676114,Ps,10.0877,0.445251,0.0387241,0.00342593,Sp
41.25,-118.5,9.66032,0.553092,0.125417,0.0656138,Ps,11.0092,0.413069,0.0426411,0.00267003,Sp
41.5,-118.5,10.0776,0.685351,0.122705,0.0581525,Ps,11.0812,0.509012,0.0424807,0.003786,Sp
41.75,-118.5,10.0752,0.748074,0.131143,0.0517558,Ps,10.7289,0.287747,0.0374602,0.00484891,Sp
